Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created
Angola,2020,May,NA,Min. of Education,Ana Paula ELIAS,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Energy & Water,Joao Baptista BORGES,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of External Relations,Tete ANTONIO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Family & Women Promotion,Victoria Francisco Correia CONCEICAO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Finance,Vera DAVES,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Health,Silvia Paula Valentim LUTUCUTA,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Higher Education,Maria Do Rosario Braganca SAMBO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Industry & Trade,Victor Francisco dos Santos FERNANDES,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Interior,Eugenio Cesar LABORINHO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Justice & Human Rights,Francisco Manuel Monteiro DE QUEIROZ,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Mineral Resources and Petroleum,Diamantino Pedro AZEVEDO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of National Defense & Veterans Affairs,"Joao Ernesto DOS SANTOS ""Liberdade""",Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Parliamentary Affairs,Rosa Luis de Sousa MICOLO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,"Min. of Public Admin., Employment, & Social Security",Antonio Rodrigues Afonso PAULO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Public Works & Planning,Manuel Tavares DE ALMEIDA,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Science & Technology,Maria Candida TEIXEIRA,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Social Communication,Nuno dos Anjos Caldas ALBINO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of State & Head of the Security House of the Pres. of the Republic,Pedro SEBASTIAO,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,"Min. of Telecommunications, Information Technology, & Social Communication",Manuel Gomes da Conceicao HOMEM,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Territorial Admin.,Marcy LOPES,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
Angola,2020,May,NA,Min. of Transport,Ricardo Daniel Sandao Viegas de ABREU,Titular,NA,May2020ChiefsDirectory.pdf,21-Apr-20,10/13/2021 3:35
